botdetectionids,botscore,botscoresrc,bottags,clientcountry,clientip,clientrequesthost,clientrequestmethod,clientrequestpath,clientrequesturi,date,edgeendtimestamp,edgeresponsestatus,edgestarttimestamp,originresponsestatus,rayid
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:22:26Z,200,2026-04-03T13:22:25Z,200,9e6861ce2bb32942
null,null,null,null,ru,176.15.220.74,api.granilink.com,POST,/api/vpn/device/push-token,/api/vpn/device/push-token,2026-04-03,2026-04-03T13:21:14Z,200,2026-04-03T13:21:13Z,200,9e68600cddeeacd4
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:21:20Z,200,2026-04-03T13:21:20Z,200,9e686036285cfeec
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/servers,/api/vpn/servers,2026-04-03,2026-04-03T13:21:43Z,200,2026-04-03T13:21:42Z,200,9e6860c0a84cdb0c
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:21:54Z,200,2026-04-03T13:21:54Z,200,9e686109ee8227b8
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/devices,/api/vpn/devices,2026-04-03,2026-04-03T13:21:50Z,200,2026-04-03T13:21:49Z,200,9e6860edd922db0c
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:22:06Z,200,2026-04-03T13:22:05Z,200,9e68615248e9481e
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/devices,/api/vpn/devices,2026-04-03,2026-04-03T13:22:12Z,200,2026-04-03T13:22:11Z,200,9e686177a8387bf6
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/servers,/api/vpn/servers,2026-04-03,2026-04-03T13:22:06Z,200,2026-04-03T13:22:05Z,200,9e6861526bec45dd
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/servers,/api/vpn/servers,2026-04-03,2026-04-03T13:22:03Z,200,2026-04-03T13:22:03Z,200,9e686142faf545dd
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/devices,/api/vpn/devices,2026-04-03,2026-04-03T13:22:09Z,200,2026-04-03T13:22:09Z,200,9e686168fd607bf6
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/status,/api/vpn/status?device_id=3d78acc6-fdbf-41cd-98f7-646671a21e94,2026-04-03,2026-04-03T13:20:21Z,200,2026-04-03T13:20:20Z,200,9e685ec00f65f351
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:20:37Z,200,2026-04-03T13:20:36Z,200,9e685f250faba455
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/status,/api/vpn/status?device_id=3d78acc6-fdbf-41cd-98f7-646671a21e94,2026-04-03,2026-04-03T13:20:37Z,200,2026-04-03T13:20:36Z,200,9e685f263faadbad
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:21:17Z,200,2026-04-03T13:21:17Z,200,9e68602259af5ba9
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:21:24Z,200,2026-04-03T13:21:23Z,200,9e68604c1a112942
